lat,lon,release_year,genre_ids
31.5492,-97.1475,1937,|4287|18715|
44.4361,26.1027,1938,|10141|17004|
44.4361,26.1027,1935,|13334|10141|17004|
44.4361,26.1027,1938,|10141|17004|
44.4361,26.1027,1938,|5748|10141|9356|17004|
44.4361,26.1027,1938,|16803|10141|17004|
33.4678,-96.9152,1933,|4296|
48.8717,2.3851,1938,|13334|
32.9715,-89.7348,1931,|4993|2703|
32.3301,-90.6057,1930,|4993|2703|
33.4678,-96.9152,1936,|6873|
34.2179,-90.5420,1930,|4993|2703|
34.2006,-90.5702,1931,|4993|2703|4299|
48.8406,2.5077,1936,|13334|
29.7589,-95.3677,1934,|17126|10141|
47.2372,-93.5302,1939,|13334|
36.1623,-86.7743,1932,|13141|2703|
51.1263,16.9782,1939,|15450|13334|
43.1838,3.0042,1937,|13334|
29.9561,-90.0734,1937,|9356|13334|
29.9561,-90.0734,1936,|9356|5259|16803|
42.3316,-83.0466,1932,|9356|2474|
29.9561,-90.0734,1938,|9356|
39.1001,-94.5781,1936,|9356|13334|16803|
40.7127,-74.0060,1939,|2474|16803|8463|9356|13334|
47.2455,-122.4383,1938,|9356|13334|
39.1001,-94.5781,1937,|9356|13334|
47.2455,-122.4383,1939,|13334|
34.9551,-97.2684,1930,|13334|
34.9551,-97.2684,1931,|4287|
44.9773,-93.2655,1938,|13334|
53.5434,-2.6330,1937,|13334|
53.5434,-2.6330,1938,|13334|
53.5434,-2.6330,1937,|13334|
45.5202,-122.6742,1932,|9356|
38.8938,-76.9880,1939,|9356|
42.1019,-72.5887,1935,|9356|13334|2474|
42.3316,-83.0466,1931,|9356|13334|
47.6572,-117.4235,1937,|9356|13334|2474|
33.4146,-82.3126,1936,|9356|16803|
39.1001,-94.5781,1937,|9356|2474|
39.1001,-94.5781,1937,|9356|2474|
39.1001,-94.5781,1938,|9356|13334|2474|
39.1001,-94.5781,1937,|9356|2474|
39.1001,-94.5781,1937,|9356|13334|16803|
39.1001,-94.5781,1938,|9356|2474|
40.3471,-74.0643,1939,|9356|2703|
39.1001,-94.5781,1938,|9356|2474|16803|
40.3471,-74.0643,1938,|2785|9356|
40.3471,-74.0643,1939,|9356|
40.3471,-74.0643,1939,|9356|2703|
40.3471,-74.0643,1939,|9356|16803|
39.1001,-94.5781,1938,|9356|2474|
39.1001,-94.5781,1939,|9356|2474|
