release_year,artist_name,release_name,release_genres,lat,lon
1945,Peggy Lee,Waiting for the Train to Come In / I’m Glad I Waited for You,jazz; pop; big band,46.9105,-98.7084
1948,Peggy Lee,Benny Goodman and His Orchestra and Sextet; Vocals by Peggy Lee,jazz; pop,46.9105,-98.7084
1949,The Society of Rockets,Silver Age,country,37.7879,-122.4075
1945,Django Reinhardt,Smoke Rings / I’m Confessin’ That I Love You,jazz; swing,50.5136,4.4208
1941,Pete Seeger,The Original Talking Union & Other Union Songs,folk; american folk music; contemporary folk,40.758,-73.9855
1947,Django Reinhardt,Folie a amphion / Anniversary Song,gypsy jazz,50.5136,4.4208
1949,Ethel Waters,Shades of Blue,jazz,39.9829,-75.7652
1942,The Ink Spots,Street of Dreams / Don’t Get Around Much Anymore,pop,39.7683,-86.1584
1945,Ella Fitzgerald,I’m Beginning to See the Light / That’s the Way It Is,jazz; pop,36.9775,-76.4298
1945,Burl Ives,Big Rock Candy Mountain,folk,40.0797,-89.4337
1947,Woody Herman,"Baby, Have You Got a Little Love to Spare / A Tune for Humming",pop,43.0386,-87.9091
1949,Margaret Whiting,Forever and Ever / Dreamer With a Penny,pop,42.3316,-83.0466
1941,Dinah Shore,Runnin’ Wild / Dinah’s Blues,jazz,35.186,-86.1118
1947,The Count Basie Orchestra,Brand New Wagon / Futile Frustration,jazz; big band,39.1001,-94.5781
1949,Miles Davis,Budo / Move,jazz,38.8909,-90.1843
1946,The Count Basie Orchestra,Fla-Ga-La-Pa / Mutton Leg,jazz; big band,39.1001,-94.5781
1948,Ella Fitzgerald,It's Too Soon to Know / I Can't Go On,jazz; pop,36.9775,-76.4298
1944,The Nat King Cole Trio,The King Cole Trio,jazz; pop; swing,34.0537,-118.2428
1949,The Nat King Cole Trio,"King Cole Trio, Volume 4",jazz,34.0537,-118.2428
1943,The Andrews Sisters,Shoo-Shoo Baby / Down in the Valley,pop,44.9773,-93.2655
1949,Carlos Chávez,A Program of Mexican Music,classical; folk,19.3208,-99.1515
1947,Arthur Godfrey,For Me and My Gal,pop; comedy,40.758,-73.9855
1946,Frank Sinatra,Oh! What It Seemed to Be / Day by Day,jazz; pop; big band,40.7433,-74.0324
1945,Charles Trenet,La Mer / Seul … depuis toujours,pop,43.1838,3.0042
1940,The Ink Spots,Do I Worry? / Java Jive,pop,39.7683,-86.1584
1949,Bing Crosby,Christmas Greetings,christmas music; pop,47.2455,-122.4383
1949,Nat King Cole,King Cole at the Piano,jazz,32.3777,-86.3091
1946,The Nat King Cole Trio,(I Love You) For Sentimental Reasons / The Best Man,jazz; swing,34.0537,-118.2428
1941,The Chuck Wagon Gang,He's Coming Again / Jesus Hold My Hand,country,33.5856,-101.847
1949,Édith Piaf,Chansons parisiennes,pop,48.8717,2.3851
1945,Charles Mingus,Lonesome Woman Blues / Swingin’ an Echo,jump blues; jazz; blues,31.3402,-110.9361
1944,Naushad,Rattan,pop,22.3511,78.6677
1949,Naushad,Andaz,pop,22.3511,78.6677
1948,Naushad,Mela,pop,22.3511,78.6677
1949,Naushad,Dulari,pop,22.3511,78.6677
1948,Naushad,Anokhi Ada,pop,22.3511,78.6677
1946,Andy Russell,Laughing on the Outside (Crying on the Inside) / They Say It's Wonderful,pop,34.0537,-118.2428
1947,Roy Brown,Good Rocking Tonight / Lolly Pop Mama,jump blues; blues,29.9561,-90.0734
1949,Patty Andrews,The Pussy Cat Song (Nyow! Nyot Nyow!) / Don’t Worry ’Bout Strangers,pop,44.9773,-93.2655
1944,Bing Crosby,Don’t Fence Me In / The Three Caballeros,pop,47.2455,-122.4383
1941,Roy Acuff,The Precious Jewel / Come Back Little Pal,country,36.2497,-83.7989
1947,Roy Acuff,I Saw The Light / Thank God,country,36.2497,-83.7989
1949,Сергей Васильевич Рахманинов,The Isle of the Dead / Fantasia on a Theme by Tallis,classical,62.0231,45.1816
1946,Gene Autry,You Laughed and I Cried / Ages and Ages Ago,country,33.4678,-96.9152
1946,The Andrews Sisters,Winter Wonderland / Christmas Island,swing; jazz; pop; christmas music,44.9773,-93.2655
1944,The Andrews Sisters,I’m in a Jam / Corns for My Country,jazz; pop,44.9773,-93.2655
1949,The Andrews Sisters,"I Can Dream, Can't I? / The Wedding of Lili Marlene",pop,44.9773,-93.2655
1949,Eddy Arnold,I'm Throwing Rice (At the Girl That I Love) / Show Me the Way Back to Your Heart,country,35.6418,-88.3949
1949,Eddy Arnold,Anytime / What a Fool I Was,country,35.6418,-88.3949
1947,Eddy Arnold,I Couldn't Believe It Was True / It's a Sin,country,35.6418,-88.3949
1949,Eddy Arnold,Texarkana Baby / Bouquet of Roses,country,35.6418,-88.3949
1949,Eddy Arnold,The Echo of Your Footsteps / One Kiss Too Many,country,35.6418,-88.3949
1948,Eddy Arnold,Then I Turned and Walked Slowly Away / A Heart Full of Love (for a Handful of Kisses),country; folk,35.6418,-88.3949
1949,Eddy Arnold,Mama and Daddy Broke My Heart / Take Me in Your Arms and Hold Me,country,35.6418,-88.3949
1947,Eddy Arnold,Don't Bother to Cry / I'll Hold You in My Heart (Till I Can Hold You in My Arms),country,35.6418,-88.3949
1945,Bob Wills and His Texas Playboys,Empty Chair at the Christmas Table / White Cross on Okinawa,country; western swing; swing,31.5492,-97.1475
1947,Bob Wills and His Texas Playboys,Sugar Moon / Brain Cloudy,country; western swing,31.5492,-97.1475
1941,Bing Crosby,New San Antonio Rose / It Makes No Difference Now,jazz; pop,47.2455,-122.4383
1947,Bob Wills and His Texas Playboys,Bob Wills Round Up,country; western swing,31.5492,-97.1475
1940,Bob Wills and His Texas Playboys,New San Antonio Rose / Bob Wills' Special,country; swing; jazz; western swing,31.5492,-97.1475
1944,Bing Crosby,Going My Way / Swinging on a Star,jazz; swing,47.2455,-122.4383
1940,Bing Crosby,Only Forever / When the Moon Comes Over Madison Square,pop,47.2455,-122.4383
1945,Bing Crosby,I Can’t Begin to Tell You / I Can’t Believe That You’re in Love With Me,easy listening; jazz,47.2455,-122.4383
1945,Bing Crosby,It’s Been a Long Long Time / Whose Dream Are You,pop,47.2455,-122.4383
1944,Betty Hutton,His Rocking Horse Ran Away / It Had to Be You,pop,42.3193,-85.1824
1945,Bing Crosby,"On the Atchison, Topeka and the Santa Fe / I’d Rather Be Me",jazz; pop,47.2455,-122.4383
1944,Bing Crosby,I Love You / I’ll Be Seeing You,pop,47.2455,-122.4383
1944,Bing Crosby,Poinciana (Song of the Tree) / San Fernando Valley,pop,47.2455,-122.4383
1943,Bing Crosby,"Sunday, Monday or Always / If You Please",pop,47.2455,-122.4383
1945,Bing Crosby,Along the Navajo Trail / I Can’t Believe That You’re in Love With Me,pop,47.2455,-122.4383
1945,Bing Crosby,You Belong to My Heart / Baía,jazz; pop; big band,47.2455,-122.4383
1941,Bing Crosby,Shepherd Serenade / The Anniversary Waltz,pop,47.2455,-122.4383
1944,Bing Crosby,Too‐Ra‐Loo‐Ra‐Loo‐Ral (That’s an Irish Lullaby) / I’ll Remember April,pop; big band,47.2455,-122.4383
1944,Bing Crosby,Amor / Long Ago (and Far Away),pop,47.2455,-122.4383
1940,Bing Crosby,Tumbling Tumbleweeds / The Singing Hills,pop,47.2455,-122.4383
1942,Bing Crosby,Deep in the Heart of Texas / Let’s All Meet at My House,jazz; pop; big band,47.2455,-122.4383
1946,Frankie Laine,That's My Desire / By the River Sainte Marie,jazz; pop; swing,41.8801,-87.6668
1949,Dinah Shore,"Speak a Word of Love (I Wish, I Wish) / Dear Hearts and Gentle People",pop,35.186,-86.1118
1948,Doris Day,My Darling My Darling / That Certain Party,pop,39.1015,-84.5125
1945,Fryderyk Chopin,"Polonaise In A-Flat, Op. 53, No. 6",classical,52.2584,20.3109
1949,The Ink Spots,"The Ink Spots, Volume 2",doo-wop,39.7683,-86.1584
1949,Ella Fitzgerald,Souvenir Album,easy listening; ballad; cool jazz; jazz,36.9775,-76.4298
1947,Bing Crosby,Whiffenpoof Song / Kentucky Babe,pop,47.2455,-122.4383
1940,Artur Rolén,Jungfrun på Jungfrusund / Polkan går,folk,57.7072,11.967
1949,Jo Stafford,Whispering Hope / A Thought in My Heart,pop,36.1397,-120.3601
1949,Kay Starr,"Ya Gotta Buy, Buy, Buy, for Baby / Break It to Me Gently",early pop,34.4005,-97.0516
1945,Hans Albers,"La Paloma / Beim ersten Mal, da tut’s noch weh",pop,53.5503,10.0007
1947,Claude Debussy,La damoiselle élue / Piano Concerto for the Left Hand,classical,48.899,2.0943
1947,Billie Holiday,Easy Living / Deep Song,jazz,39.9527,-75.1635
1949,Margaret Whiting,"Baby, It's Cold Outside / I Never Heard You Say",pop,42.3316,-83.0466
1947,Meade Lux Lewis,Honky Tonk Train Blues / Hastings Street,jazz; blues,41.8756,-87.6244
1949,Vic Damone,You’re Breaking My Heart / Four Winds and Seven Seas,pop,40.6526,-73.9497
1947,Casa Loma Orchestra,Musical Smoke Rings,jazz; pop; big band,42.3316,-83.0466
1949,Max van Praag,Als de klok van Arnemuiden / Mijn pappie is enkel een foto,pop,52.3731,4.8925
1947,Rosetta Howard,It’s Hard to Get Through Life Alone / Where Shall I Go,blues,35.2049,-92.4479
1947,Rosetta Howard,When I Been Drinking / Ebony Rhapsody,blues,35.2049,-92.4479
